단어,점수
빅데이터,12
서원,12
박물관,12
산림,12
안터,12
기형도,12
채널,12
농수산,12
마이스터고,12
용건,12
생업,12
개통,12
만족,12
추세,12
쇼핑,12
주거,12
매칭,12
탈바꿈,12
연결,12
초점,12
양성,12
실천,12
인턴십,12
이원익,12
특구,12
밤일,12
은하수,12
안양천,12
추첨,12
보지,12
한층,12
스피돔,12
명소,12
증정,12
광명역,12
중순,12
도덕,12
더욱,12
전남지사,12
여수,12
박아론,12
찬성,12
수준별,12
자영,12
지표조사,12
국무총리,12
실태,12
최선,12
제조,12
불공정,12
에어컨,12
수시,12
벌점,12
중소,12
공과금,12
한도,12
단가,12
함,12
급등,12
신용카드,12
병령,12
과태료,12
걸이,12
벽,12
모니터링,12
물품,12
약정,12
천만원,12
삼성,12
서면,12
국장,12
하양,12
조경,12
선반,12
김씨,12
고용노동부,12
공작물,12
냉방,12
사관,12
공작기계,12
옷,12
스마트폰,12
인체,12
유족,12
규명,12
전자기기,12
끼임,12
파악,12
공단,12
공업,12
화공,12
삼립,12
진상,12
원북면,12
동권,12
효율,12
압수,12
지청,12
호기,12
윤활유,12
부품,12
용기,12
이기,12
선언,12
퍼블릭,12
대전,12
객,12
시스템,12
